mechanism,x_key,x,seed_mean,ci95,exposure,analytic
geometric,cv,0.0,2.0,0.0,2.0,2.0
naive_mean,cv,0.0,2.5,0.0,2.5,2.0
geometric,cv,0.25,1.826582149593665,0.0,1.826582149593665,1.8265821495936652
naive_mean,cv,0.25,2.168201174607107,0.0,2.168201174607107,1.8265821495936652
geometric,cv,0.5,1.679164071536162,0.0,1.679164071536162,1.6791640715361618
naive_mean,cv,0.5,1.9097959895689498,0.0,1.9097959895689498,1.6791640715361618
geometric,cv,0.75,1.554702433979906,0.0,1.554702433979906,1.554702433979906
naive_mean,cv,0.75,1.7085498291115222,0.0,1.7085498291115222,1.554702433979906
geometric,cv,1.0,1.450392472234439,0.0,1.450392472234439,1.4503924722344388
naive_mean,cv,1.0,1.5518191617571637,0.0,1.5518191617571637,1.4503924722344388
geometric,cv,1.25,1.3636401250258705,0.0,1.3636401250258705,1.3636401250258698
naive_mean,cv,1.25,1.4297571952902854,0.0,1.4297571952902854,1.3636401250258698
geometric,cv,1.5,1.2920489466135907,0.0,1.2920489466135907,1.2920489466135907
naive_mean,cv,1.5,1.3346952402226449,0.0,1.3346952402226449,1.2920489466135907
geometric,cv,1.75,1.2334187570940112,0.0,1.2334187570940112,1.2334187570940112
naive_mean,cv,1.75,1.260660915175668,0.0,1.260660915175668,1.2334187570940112
geometric,cv,2.0,1.1857511752934669,0.0,1.1857511752934669,1.1857511752934669
naive_mean,cv,2.0,1.2030029248549192,0.0,1.2030029248549192,1.1857511752934669
geometric,cv,2.25,1.1472565858105117,0.0,1.1472565858105117,1.1472565858105122
naive_mean,cv,2.25,1.1580988368427967,0.0,1.1580988368427967,1.1472565858105122
geometric,cv,2.5,1.1163579156666987,0.0,1.1163579156666987,1.116357915666699
naive_mean,cv,2.5,1.123127497935848,0.0,1.123127497935848,1.116357915666699
geometric,cv,2.75,1.0916884095840367,0.0,1.0916884095840367,1.0916884095840365
naive_mean,cv,2.75,1.095891791810061,0.0,1.095891791810061,1.0916884095840365
geometric,cv,3.0,1.0720826484481465,0.0,1.0720826484481465,1.0720826484481463
naive_mean,cv,3.0,1.0746806025517959,0.0,1.0746806025517959,1.0720826484481463
