epsilon,cv,rule,exposure,analytic
0.0,1.0,geometric,1.4503924722344388,1.4503924722344388
0.0,1.0,naive_mean,1.5518191617571635,1.4503924722344388
0.05,1.0,geometric,1.4827192611342885,1.4827192611342885
0.05,1.0,naive_mean,1.5992282036693053,1.4827192611342885
0.1,1.0,geometric,1.5143561308895916,1.5143561308895916
0.1,1.0,naive_mean,1.646637245581447,1.5143561308895916
0.15000000000000002,1.0,geometric,1.545345454902294,1.545345454902294
0.15000000000000002,1.0,naive_mean,1.694046287493589,1.545345454902294
0.2,1.0,geometric,1.5757254389047166,1.5757254389047166
0.2,1.0,naive_mean,1.741455329405731,1.5757254389047166
0.25,1.0,geometric,1.6055306732154777,1.6055306732154777
0.25,1.0,naive_mean,1.7888643713178727,1.6055306732154777
0.30000000000000004,1.0,geometric,1.6347925943250505,1.6347925943250505
0.30000000000000004,1.0,naive_mean,1.8362734132300145,1.6347925943250505
0.35000000000000003,1.0,geometric,1.663539873367727,1.663539873367727
0.35000000000000003,1.0,naive_mean,1.8836824551421563,1.663539873367727
0.4,1.0,geometric,1.6917987451551666,1.6917987451551666
0.4,1.0,naive_mean,1.931091497054298,1.6917987451551666
0.45,1.0,geometric,1.7195932885228646,1.7195932885228646
0.45,1.0,naive_mean,1.9785005389664398,1.7195932885228646
0.5,1.0,geometric,1.7469456665154652,1.7469456665154652
0.5,1.0,naive_mean,2.0259095808785816,1.7469456665154652
0.55,1.0,geometric,1.7738763332265999,1.7738763332265999
0.55,1.0,naive_mean,2.0733186227907234,1.7738763332265999
0.6000000000000001,1.0,geometric,1.8004042127827102,1.8004042127827102
0.6000000000000001,1.0,naive_mean,2.1207276647028657,1.8004042127827102
