spread,rule,exposure,analytic
1.5,geometric,1.224744871391589,1.224744871391589
1.5,naive_mean,1.25,1.224744871391589
2.0,geometric,1.4142135623730951,1.4142135623730951
2.0,naive_mean,1.5,1.4142135623730951
3.0,geometric,1.7320508075688772,1.7320508075688772
3.0,naive_mean,2.0,1.7320508075688772
4.0,geometric,2.0,2.0
4.0,naive_mean,2.5,2.0
6.0,geometric,2.449489742783178,2.449489742783178
6.0,naive_mean,3.5,2.449489742783178
8.0,geometric,2.8284271247461903,2.8284271247461903
8.0,naive_mean,4.5,2.8284271247461903
