stake,mechanism,share_intact,share_after_slash,share_wiped,delta_i,delta_i_wiped,continuation_value,deterrence,honesty_predicted
0.0,score,0.0241,0.00295,0.0,0.0021149999999999993,0.0024099999999999994,0.04018499999999995,0.3414620440708044,0.5821162035800644
0.0,reputation_only,0.0252,0.0,0.0,0.0025199999999999997,0.0025199999999999997,0.04787999999999995,0.3463262117709901,0.591587708998779
0.0,price_only,0.0241,0.0241,0.0241,0.0,0.0,0.0,0.31606027941427883,0.5320012264490452
0.0,random,0.024975,0.024975,0.024975,0.0,0.0,0.0,0.31606027941427883,0.5320012264490452
0.2,score,0.0241,0.00295,0.0,0.0021149999999999993,0.0024099999999999994,0.04018499999999995,0.4678861558365159,0.7993861910582861
0.2,reputation_only,0.0252,0.0,0.0,0.0025199999999999997,0.0025199999999999997,0.04787999999999995,0.47275032353670166,0.8061378243436076
0.2,price_only,0.0241,0.0241,0.0241,0.0,0.0,0.0,0.44248439117999033,0.7618982382183501
0.2,random,0.024975,0.024975,0.024975,0.0,0.0,0.0,0.44248439117999033,0.7618982382183501
0.4,score,0.0241,0.00295,0.0,0.0021149999999999993,0.0024099999999999994,0.04018499999999995,0.5943102676022275,0.9294289627531789
0.4,reputation_only,0.0252,0.0,0.0,0.0025199999999999997,0.0025199999999999997,0.04787999999999995,0.5991744353024132,0.9326565159310003
0.4,price_only,0.0241,0.0241,0.0241,0.0,0.0,0.0,0.5689085029457019,0.9106134909573214
0.4,random,0.024975,0.024975,0.024975,0.0,0.0,0.0,0.5689085029457019,0.9106134909573214
0.6,score,0.0241,0.00295,0.0,0.0021149999999999993,0.0024099999999999994,0.04018499999999995,0.720734379367939,0.9822964612264835
0.6,reputation_only,0.0252,0.0,0.0,0.0025199999999999997,0.0025199999999999997,0.04787999999999995,0.7255985470681248,0.9833311570463095
0.6,price_only,0.0241,0.0241,0.0241,0.0,0.0,0.0,0.6953326147114135,0.9759601362823607
0.6,random,0.024975,0.024975,0.024975,0.0,0.0,0.0,0.6953326147114135,0.9759601362823607
