parameter,value,peak_cv,peak_welfare,honesty_at_peak
n,20,0.75,0.557231625,0.9882925
n,50,0.75,0.5571832499999999,0.9881850000000001
n,100,0.75,0.5563125,0.98625
T,4000,0.75,0.5571832499999999,0.9881850000000001
T,20000,0.75,0.5572116,0.988248
s0,2,0.5,0.5745145000000002,0.9975725
s0,4,0.75,0.5571832499999999,0.9881850000000001
s0,8,1.5,0.49962525000000013,0.95587
SIGMA,0.5,1.0,0.5391156249999999,0.9758125
SIGMA,1.0,0.75,0.5571832499999999,0.9881850000000001
STAKE,0.3,1.0,0.5391156249999999,0.9758125
STAKE,0.6,0.75,0.5571832499999999,0.9881850000000001
STAKE,1.0,0.5,0.5664837500000001,0.9810750000000001
DELTA,0.9,1.0,0.5468916249999998,0.9930925
DELTA,0.95,0.75,0.5571832499999999,0.9881850000000001
DELTA,0.99,0.5,0.5749145000000001,0.99981
ALPHA_CV,0.025,0.75,0.5759332499999998,0.9881850000000001
ALPHA_CV,0.05,0.75,0.5571832499999999,0.9881850000000001
ALPHA_CV,0.1,0.75,0.5196832500000003,0.9881850000000001
OVERHEAD_DISPUTE,0.025,0.75,0.5571832499999999,0.9881850000000001
OVERHEAD_DISPUTE,0.05,0.75,0.5571832499999999,0.9881850000000001
OVERHEAD_DISPUTE,0.1,0.75,0.5571832499999999,0.9881850000000001
