mechanism,x_key,x,seed_mean,ci95,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
Mstar,sybil,0.0,0.5493688749999999,0.0004556665357947423,0.0008674999999999999,0.0006304541645800776,0.9985974999999999,0.0010125923017660966,0.9985974999999999,0.0010125923017660966,0.0014025,0.0010125923017660955,0.0005350000000000001,0.00038895786741787683,0.5493688749999999,0.0004556665357947423
Mstar,sybil,0.1,0.5493688749999999,0.0004556665357947423,0.0008674999999999999,0.0006304541645800776,0.9985974999999999,0.0010125923017660966,0.9985974999999999,0.0010125923017660966,0.0014025,0.0010125923017660955,0.0005350000000000001,0.00038895786741787683,0.5493688749999999,0.0004556665357947423
Mstar,sybil,0.2,0.5494712499999997,0.0004142107541622209,0.0007224999999999999,0.0005699414269923008,0.998825,0.0009204683425827151,0.998825,0.0009204683425827151,0.001175,0.0009204683425827148,0.0004525,0.00035782473264564773,0.5494712499999997,0.0004142107541622209
Mstar,sybil,0.30000000000000004,0.5495454999999998,0.0003911656666473123,0.000635,0.0005474788390357377,0.99899,0.0008692570369940283,0.99899,0.0008692570369940283,0.0010099999999999998,0.0008692570369940276,0.00037500000000000006,0.00032744528419480126,0.5495454999999998,0.0003911656666473123
Mstar,sybil,0.4,0.5496298749999998,0.0003578901143285336,0.0004975,0.0004820909737484171,0.9991774999999999,0.0007953113651745197,0.9991774999999999,0.0007953113651745197,0.0008224999999999999,0.0007953113651745194,0.000325,0.0003144480011934334,0.5496298749999998,0.0003578901143285336
Mstar,sybil,0.5,0.5496298749999998,0.0003578901143285336,0.0004975,0.0004820909737484171,0.9991774999999999,0.0007953113651745197,0.9991774999999999,0.0007953113651745197,0.0008224999999999999,0.0007953113651745194,0.000325,0.0003144480011934334,0.5496298749999998,0.0003578901143285336
Mstar,sybil,0.6000000000000001,0.5496298749999998,0.0003578901143285336,0.0004975,0.0004820909737484171,0.9991774999999999,0.0007953113651745197,0.9991774999999999,0.0007953113651745197,0.0008224999999999999,0.0007953113651745194,0.000325,0.0003144480011934334,0.5496298749999998,0.0003578901143285336
Mstar,sybil,0.7000000000000001,0.5497299999999998,0.0003027726397210231,0.00035999999999999997,0.00040450346966336025,0.9994,0.0006728280882689404,0.9994,0.0006728280882689404,0.0006,0.0006728280882689399,0.00024,0.0002696389999666782,0.5497299999999998,0.0003027726397210231
Mstar,sybil,0.8,0.5498256249999998,0.00024049371129086767,0.0002275,0.0003138763539286698,0.9996125,0.0005344304695352592,0.9996125,0.0005344304695352592,0.0003875,0.0005344304695352585,0.00016,0.00022161302700286767,0.5498256249999998,0.00024049371129086767
no_stake,sybil,0.0,0.4785658749999998,0.004880862326711941,0.10023,0.006804402867068774,0.8412575,0.010846360726026539,0.8412575,0.010846360726026539,0.15874249999999998,0.010846360726026537,0.058512499999999995,0.004092661632715192,0.4785658749999998,0.004880862326711941
