metric,theory,mechanism,x_key,x,seed_mean,ci95,q1,q3,rco_verification,rco_dispute,status,aux
moral_hazard_residual,agency,Mstar,cv,0.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,Mstar,cv,0.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,0.0,35.0,0.0,,,,,,35
moral_hazard_residual,agency,Mstar,cv,0.25,0.39159750000000004,0.012049276723249173,,,,,,0.22119921692859512
residual_coordination_overhead,transaction_cost,Mstar,cv,0.25,0.036098500000000006,0.00036379981919798266,,,0.025,0.0110985,,0.05
dispute_resolution_time,institutional,Mstar,cv,0.25,14.0,0.0,,,,,,14
moral_hazard_residual,agency,Mstar,cv,0.5,0.06654,0.006097690047348696,,,,,,0.3934693402873666
residual_coordination_overhead,transaction_cost,Mstar,cv,0.5,0.054255750000000005,0.00039036129570287607,,,0.05,0.004255749999999999,,0.05
dispute_resolution_time,institutional,Mstar,cv,0.5,7.0,0.0,,,,,,7
moral_hazard_residual,agency,Mstar,cv,0.75,0.005640000000000001,0.0015336947026080784,,,,,,0.5276334472589853
residual_coordination_overhead,transaction_cost,Mstar,cv,0.75,0.07561750000000002,0.00016170299966608567,,,0.07500000000000001,0.0006175000000000001,,0.05
dispute_resolution_time,institutional,Mstar,cv,0.75,5.0,0.0,,,,,,5
moral_hazard_residual,agency,Mstar,cv,1.0,0.0005350000000000001,0.00038895786741787683,,,,,,0.6321205588285577
residual_coordination_overhead,transaction_cost,Mstar,cv,1.0,0.10008675,6.304541645800776e-05,,,0.1,8.675e-05,,0.05
dispute_resolution_time,institutional,Mstar,cv,1.0,4.0,0.0,,,,,,4
moral_hazard_residual,agency,Mstar,cv,1.25,5.4999999999999995e-05,0.00010779999999999999,,,,,,0.7134952031398099
residual_coordination_overhead,transaction_cost,Mstar,cv,1.25,0.1250135,2.6460000000000004e-05,,,0.125,1.3500000000000001e-05,,0.05
dispute_resolution_time,institutional,Mstar,cv,1.25,3.0,0.0,,,,,,3
moral_hazard_residual,agency,Mstar,cv,1.5,0.0,0.0,,,,,,0.7768698398515702
residual_coordination_overhead,transaction_cost,Mstar,cv,1.5,0.15000000000000002,0.0,,,0.15000000000000002,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,1.5,3.0,0.0,,,,,,3
moral_hazard_residual,agency,Mstar,cv,1.75,0.0,0.0,,,,,,0.8262260565495548
residual_coordination_overhead,transaction_cost,Mstar,cv,1.75,0.17500000000000002,0.0,,,0.17500000000000002,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,1.75,2.0,0.0,,,,,,2
moral_hazard_residual,agency,Mstar,cv,2.0,0.0,0.0,,,,,,0.8646647167633873
residual_coordination_overhead,transaction_cost,Mstar,cv,2.0,0.2,0.0,,,0.2,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,2.0,2.0,0.0,,,,,,2
moral_hazard_residual,agency,Mstar,cv,2.25,0.0,0.0,,,,,,0.8946007754381357
residual_coordination_overhead,transaction_cost,Mstar,cv,2.25,0.225,0.0,,,0.225,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,2.25,2.0,0.0,,,,,,2
moral_hazard_residual,agency,Mstar,cv,2.5,0.0,0.0,,,,,,0.9179150013761012
residual_coordination_overhead,transaction_cost,Mstar,cv,2.5,0.25,0.0,,,0.25,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,2.5,2.0,0.0,,,,,,2
moral_hazard_residual,agency,Mstar,cv,2.75,0.0,0.0,,,,,,0.9360721387932924
residual_coordination_overhead,transaction_cost,Mstar,cv,2.75,0.275,0.0,,,0.275,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,2.75,2.0,0.0,,,,,,2
moral_hazard_residual,agency,Mstar,cv,3.0,0.0,0.0,,,,,,0.950212931632136
residual_coordination_overhead,transaction_cost,Mstar,cv,3.0,0.30000000000000004,0.0,,,0.30000000000000004,0.0,,0.05
dispute_resolution_time,institutional,Mstar,cv,3.0,2.0,0.0,,,,,,2
moral_hazard_residual,agency,receipt_only,cv,0.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,0.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,0.0,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,0.25,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,0.25,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,0.25,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,0.5,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,0.5,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,0.5,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,0.75,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,0.75,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,0.75,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,1.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,1.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,1.0,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,1.25,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,1.25,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,1.25,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,1.5,1.0,0.0,,,,,,0.0
