mechanism,x_key,x,seed_mean,ci95,d,s,dispute,dispute_ci95,honesty,honesty_ci95,participation,participation_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95,wrongful_slash,wrongful_slash_ci95
exponential,cv,0.0,0.14999999999999994,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0,0.0,0.0
exponential,cv,0.25,0.36143350000000013,0.007001643878966767,0.22119921692859512,3.3364023492142145,0.11134000000000002,0.0036527524547050176,0.49762999999999996,0.015559208619926134,1.0,0.0,0.50237,0.015559208619926138,0.39102999999999993,0.012046191513729744,0.36143350000000013,0.007001643878966767,0.0,0.0
exponential,cv,0.5,0.52587575,0.0044733081950803135,0.3934693402873666,2.8195919791379005,0.043125,0.0039612871811209455,0.890835,0.009940684877956261,1.0,0.0,0.109165,0.009940684877956261,0.06603999999999999,0.0060254957291680355,0.52587575,0.0044733081950803135,0.0,0.0
exponential,cv,0.75,0.55718775,0.0014038048007954543,0.5276334472589853,2.417099658223044,0.006212499999999999,0.0016701055696082098,0.9881949999999999,0.0031195662239898976,1.0,0.0,0.011805000000000001,0.0031195662239898976,0.0055925,0.0014801715751966735,0.55718775,0.0014038048007954543,0.0,0.0
exponential,cv,1.0,0.5493699999999998,0.0004548154171049656,0.6321205588285577,2.103638323514327,0.0008774999999999999,0.0006327595885237038,0.9986,0.0010107009268999231,1.0,0.0,0.0014000000000000002,0.001010700926899923,0.0005225000000000001,0.0003838156411138509,0.5493699999999998,0.0004548154171049656,0.0,0.0
exponential,cv,1.25,0.5374122499999998,0.00017198999999999746,0.7134952031398099,1.8595143905805704,0.00014000000000000001,0.00027439999999999995,0.999805,0.0003821999999999991,1.0,0.0,0.000195,0.0003822,5.4999999999999995e-05,0.00010779999999999999,0.5374122499999998,0.00017198999999999746,0.0,0.0
exponential,cv,1.5,0.5250000000000002,0.0,0.7768698398515702,1.6693904804452893,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5250000000000002,0.0,0.0,0.0
exponential,cv,1.75,0.5125000000000002,2.1869996013146937e-17,0.8262260565495548,1.5213218303513356,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5125000000000002,2.1869996013146937e-17,0.0,0.0
exponential,cv,2.0,0.5,0.0,0.8646647167633873,1.406005849709838,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
exponential,cv,2.25,0.48749999999999977,2.1869996013146937e-17,0.8946007754381357,1.316197673685593,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48749999999999977,2.1869996013146937e-17,0.0,0.0
exponential,cv,2.5,0.4749999999999998,1.0934998006573469e-17,0.9179150013761012,1.2462549958716966,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4749999999999998,1.0934998006573469e-17,0.0,0.0
exponential,cv,2.75,0.4625000000000002,1.0934998006573469e-17,0.9360721387932924,1.1917835836201227,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4625000000000002,1.0934998006573469e-17,0.0,0.0
exponential,cv,3.0,0.45000000000000023,2.1869996013146937e-17,0.950212931632136,1.1493612051035917,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000023,2.1869996013146937e-17,0.0,0.0
linear,cv,0.0,0.14999999999999994,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0,0.0,0.0
linear,cv,0.25,0.21153062500000008,0.004934637327945417,0.08333333333333333,3.75,0.06954750000000001,0.0012263296036827483,0.16451249999999998,0.01096586072876759,1.0,0.0,0.8354874999999998,0.01096586072876759,0.7659400000000001,0.010076910063440414,0.21153062500000008,0.004934637327945417,0.0,0.0
linear,cv,0.5,0.284966,0.006168580321240862,0.16666666666666666,3.5,0.10803750000000002,0.002476890284676177,0.35548,0.013707956269424134,1.0,0.0,0.64452,0.013707956269424133,0.5364825000000001,0.011471648763743025,0.284966,0.006168580321240862,0.0,0.0
linear,cv,0.75,0.37113299999999994,0.0068436942684913845,0.25,3.25,0.10651500000000003,0.003961521783967429,0.5747399999999999,0.015208209485536408,1.0,0.0,0.42526,0.015208209485536408,0.318745,0.011387550717916969,0.37113299999999994,0.0068436942684913845,0.0,0.0
linear,cv,1.0,0.4546753749999998,0.00563226468049346,0.3333333333333333,3.0,0.0702225,0.00423061077304806,0.7881675,0.01251614373442991,1.0,0.0,0.2118325,0.01251614373442991,0.14160999999999999,0.008379297601189073,0.4546753749999998,0.00563226468049346,0.0,0.0
linear,cv,1.25,0.5000082499999999,0.003286840062249619,0.4166666666666667,2.75,0.0348175,0.0030559555560752305,0.9166850000000001,0.00730408902722138,1.0,0.0,0.083315,0.00730408902722138,0.04849749999999999,0.004303321185098925,0.5000082499999999,0.003286840062249619,0.0,0.0
linear,cv,1.5,0.5154982500000002,0.001808293979616763,0.5,2.5,0.010565,0.002020113111244571,0.9788849999999999,0.0040184310658149995,1.0,0.0,0.021115,0.0040184310658149995,0.010549999999999999,0.0020376060225250374,0.5154982500000002,0.001808293979616763,0.0,0.0
linear,cv,1.75,0.5104243750000002,0.0008713808893138284,0.5833333333333334,2.25,0.0027249999999999996,0.0011449549106732314,0.9953875,0.0019364019762529584,1.0,0.0,0.0046125,0.0019364019762529584,0.0018875,0.0008095192534567487,0.5104243750000002,0.0008713808893138284,0.0,0.0
linear,cv,2.0,0.49971762499999994,0.00031753817340668557,0.6666666666666666,2.0,0.000425,0.0004763726259850359,0.9993725000000001,0.0007056403853481907,1.0,0.0,0.0006275,0.0007056403853481911,0.00020250000000000002,0.00023200390518308525,0.49971762499999994,0.00031753817340668557,0.0,0.0
linear,cv,2.25,0.48749999999999977,2.1869996013146937e-17,0.75,1.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48749999999999977,2.1869996013146937e-17,0.0,0.0
linear,cv,2.5,0.4749999999999998,1.0934998006573469e-17,0.8333333333333334,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4749999999999998,1.0934998006573469e-17,0.0,0.0
linear,cv,2.75,0.4625000000000002,1.0934998006573469e-17,0.9166666666666666,1.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4625000000000002,1.0934998006573469e-17,0.0,0.0
linear,cv,3.0,0.45000000000000023,2.1869996013146937e-17,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000023,2.1869996013146937e-17,0.0,0.0
logarithmic,cv,0.0,0.14999999999999994,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0,0.0,0.0
logarithmic,cv,0.25,0.2910613750000001,0.006212364493033048,0.16096404744368117,3.5171078576689565,0.106585,0.002391250102969051,0.3412475,0.013805254428962322,1.0,0.0,0.6587525000000001,0.013805254428962322,0.5521674999999999,0.011652267592254958,0.2910613750000001,0.006212364493033048,0.0,0.0
logarithmic,cv,0.5,0.43500162499999995,0.006071125283267848,0.2924812503605781,3.122556248918266,0.0910375,0.00416333940454952,0.6888925,0.013491389518372993,1.0,0.0,0.31110750000000004,0.013491389518372993,0.22007,0.009423387769381095,0.43500162499999995,0.006071125283267848,0.0,0.0
logarithmic,cv,0.75,0.518149125,0.0037646533475990387,0.40367746102880203,2.7889676169135935,0.0399375,0.003389102262987928,0.9014425000000001,0.00836589632799786,1.0,0.0,0.0985575,0.00836589632799786,0.05862,0.005024981884443952,0.518149125,0.0037646533475990387,0.0,0.0
logarithmic,cv,1.0,0.5404982499999997,0.0018082939796167517,0.5,2.5,0.010565,0.002020113111244571,0.9788849999999999,0.0040184310658149995,1.0,0.0,0.021115,0.0040184310658149995,0.010549999999999999,0.0020376060225250374,0.5404982499999997,0.0018082939796167517,0.0,0.0
logarithmic,cv,1.25,0.5355076249999997,0.0008634539285111559,0.5849625007211562,2.2451124978365313,0.0026175,0.001135382002684648,0.9955725000000001,0.0019187865078025882,1.0,0.0,0.0044275,0.0019187865078025886,0.00181,0.0008011698658458105,0.5355076249999997,0.0008634539285111559,0.0,0.0
logarithmic,cv,1.5,0.5245398750000002,0.00039644308421891343,0.6609640474436812,2.0171078576689565,0.0006925000000000001,0.0005951275876276915,0.9989775000000001,0.0008809846315975733,1.0,0.0,0.0010225,0.000880984631597573,0.00033,0.0002886621834629818,0.5245398750000002,0.00039644308421891343,0.0,0.0
logarithmic,cv,1.75,0.5124122500000002,0.00017198999999999952,0.7297158093186487,1.810852572044054,0.00014000000000000001,0.00027439999999999995,0.999805,0.0003821999999999991,1.0,0.0,0.000195,0.0003822,5.4999999999999995e-05,0.00010779999999999999,0.5124122500000002,0.00017198999999999952,0.0,0.0
logarithmic,cv,2.0,0.5,0.0,0.792481250360578,1.6225562489182659,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
logarithmic,cv,2.25,0.48749999999999977,2.1869996013146937e-17,0.8502198590705461,1.4493404227883617,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48749999999999977,2.1869996013146937e-17,0.0,0.0
logarithmic,cv,2.5,0.4749999999999998,1.0934998006573469e-17,0.9036774610288021,1.2889676169135937,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4749999999999998,1.0934998006573469e-17,0.0,0.0
logarithmic,cv,2.75,0.4625000000000002,1.0934998006573469e-17,0.9534452978042594,1.139664106587222,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4625000000000002,1.0934998006573469e-17,0.0,0.0
logarithmic,cv,3.0,0.45000000000000023,2.1869996013146937e-17,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000023,2.1869996013146937e-17,0.0,0.0
threshold,cv,0.0,0.14999999999999994,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0,0.0,0.0
threshold,cv,0.25,0.13749999999999996,5.467499003286734e-18,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13749999999999996,5.467499003286734e-18,0.0,0.0
threshold,cv,0.5,0.125,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0
threshold,cv,0.75,0.5625,0.0,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0
threshold,cv,1.0,0.5499999999999998,2.1869996013146937e-17,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5499999999999998,2.1869996013146937e-17,0.0,0.0
threshold,cv,1.25,0.5374999999999998,0.0,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5374999999999998,0.0,0.0,0.0
threshold,cv,1.5,0.5250000000000002,0.0,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5250000000000002,0.0,0.0,0.0
threshold,cv,1.75,0.5125000000000002,2.1869996013146937e-17,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5125000000000002,2.1869996013146937e-17,0.0,0.0
threshold,cv,2.0,0.5,0.0,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
threshold,cv,2.25,0.48749999999999977,2.1869996013146937e-17,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48749999999999977,2.1869996013146937e-17,0.0,0.0
threshold,cv,2.5,0.4749999999999998,1.0934998006573469e-17,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4749999999999998,1.0934998006573469e-17,0.0,0.0
threshold,cv,2.75,0.4625000000000002,1.0934998006573469e-17,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4625000000000002,1.0934998006573469e-17,0.0,0.0
threshold,cv,3.0,0.45000000000000023,2.1869996013146937e-17,0.85,1.4500000000000002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000023,2.1869996013146937e-17,0.0,0.0
power,cv,0.0,0.14999999999999994,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0,0.0,0.0
power,cv,0.25,0.3369591250000001,0.006848804314924914,0.19999999999999996,3.4000000000000004,0.1117475,0.003279666595813814,0.4432425,0.015219565144277584,1.0,0.0,0.5567575,0.015219565144277584,0.44501000000000007,0.012108576255186932,0.3369591250000001,0.006848804314924914,0.0,0.0
